0.109,0.102
0.1639,0.1531
0.2188,0.2042
0.2737,0.2553
0.3285,0.3064
0.3834,0.3575
0.4383,0.4086
0.4931,0.4597
0.548,0.5108
0.6029,0.5619
0.6578,0.613
0.7126,0.6641
0.7675,0.7152
0.8224,0.7663
0.8772,0.8174
0.9321,0.8685
0.987,0.9196
1.0419,0.9707
1.0967,1.0218
1.1516,1.0729
1.2065,1.124
1.2613,1.1751
1.3162,1.2262
1.3711,1.2773
1.426,1.3284
1.4808,1.3795
1.5357,1.4306
1.5906,1.4817
1.6455,1.5328
1.7003,1.5839
1.7552,1.635
1.8101,1.6861
1.865,1.7372
1.9198,1.7883
1.9747,1.8394
2.0296,1.8905
2.0845,1.9416
2.1393,1.9927
2.1942,2.0438
2.2491,2.0949
2.304,2.146
2.3588,2.1971
2.4137,2.2482
2.4686,2.2993
2.5235,2.3504
2.5783,2.4015
2.6332,2.4526
2.6881,2.5037
2.743,2.5548
2.7978,2.6059
2.8527,2.657
2.9076,2.7081
2.9625,2.7592
3.0173,2.8103
3.0722,2.8614
3.1331,2.9122
3.1940,2.9605
3.2549,3.0064
3.3158,3.0497
3.3767,3.0907
3.4376,3.1293
3.4985,3.1655
3.5595,3.1994
3.6204,3.231
3.6813,3.2603
3.7422,3.2873
3.8031,3.3122
3.864,3.3348
3.9249,3.3553
3.9858,3.3737
4.0467,3.3899
4.1076,3.4041
4.1685,3.4162
4.2294,3.4263
4.2903,3.4344
4.3512,3.4405
4.4122,3.4447
4.4731,3.447
4.534,3.4475
4.5949,3.446
4.6558,3.4428
4.7167,3.4377
4.7776,3.4309
4.8385,3.4224
4.8994,3.4121
4.9603,3.4002
5.0212,3.3866
5.0821,3.3714
5.143,3.3546
5.2039,3.3363
5.2649,3.3164
5.3258,3.295
5.3867,3.2721
5.4476,3.2477
5.5085,3.222
5.5694,3.1948
5.6303,3.1663
5.6912,3.1364
5.7521,3.1053
5.813,3.0728
5.8739,3.0391
5.9348,3.0042
5.9957,2.968
6.0566,2.9308
6.1176,2.8923
6.1785,2.8528
6.2394,2.8122
6.3003,2.7705
6.3612,2.7278
6.4221,2.6841
6.483,2.6394
6.5439,2.5938
6.6048,2.5473
6.6657,2.4999
6.7266,2.4516
6.7875,2.4026
6.8484,2.3527
6.9093,2.302
6.9703,2.2506
7.0312,2.1985
7.0921,2.1457
7.153,2.0923
7.2139,2.0382
7.2748,1.9836
7.3357,1.9283
7.3966,1.8725
7.4575,1.8163
7.5184,1.7595
7.5793,1.7022
7.6402,1.6446
7.7011,1.5865
7.762,1.5281
7.823,1.4693
7.8839,1.4102
7.9448,1.3508
8.0057,1.2912
8.0666,1.2313
8.1275,1.1713
8.1884,1.111
8.2493,1.0507
8.3102,0.9902
8.3711,0.9296
8.432,0.869
8.4929,0.8083
8.5538,0.7476
8.6147,0.687
8.6757,0.6264
8.7366,0.5659
8.7975,0.5055
88.8584,0.4452
8.8952,0.4014
8.9320,0.3589
8.9688,0.3176
9.0055,0.2774
9.0423,0.2385
9.0791,0.2008
9.1159,0.1644
9.1527,0.1291
9.1895,0.0950
9.2262,0.0622
9.2630,0.0306
9.2998,0.0002
9.3366,-0.0290
9.3734,-0.0570
9.4102,-0.0838
9.4469,-0.1094
9.4837,-0.1337
9.5205,-0.1568
9.5573,-0.1787
9.5941,-0.1994
9.6309,-0.2189
9.6676,-0.2372
9.7044,-0.2543
9.7412,-0.2701
9.7780,-0.2848
9.8148,-0.2982
9.8516,-0.3104
9.8883,-0.3214
9.9251,-0.3312
9.9619,-0.3397
9.9987,-0.3471
10.0355,-0.3532
10.0723,-0.3582
10.1091,-0.3619
10.1458,-0.3644
10.1826,-0.3656
10.2194,-0.3657
10.2562,-0.3646
10.2930,-0.3622
10.3298,-0.3587
10.3665,-0.3539
10.4033,-0.3479
10.4401,-0.3407
10.4769,-0.3322
10.5137,-0.3226
10.5505,-0.3118
10.5872,-0.2997
10.6240,-0.2864
10.6608,-0.2719
10.6976,-0.2562
10.7344,-0.2393
10.7712,-0.2212
10.8079,-0.2018
10.8447,-0.1813
10.8815,-0.1595
10.9183,-0.1365
10.9551,-0.1123
10.9919,-0.0869
11.0286,-0.0603
11.0654,-0.0324
11.1022,-0.0034
11.1390,0.0269
11.1758,0.0584
11.2126,0.0911
11.2493,0.1250
11.2861,0.1601
11.3229,0.1965
11.3597,0.2340
11.3965,0.2728
11.4333,0.3127
11.4701,0.3539
11.5068,0.3963
11.5436,0.4400
11.5804,0.4848
11.6172,0.5308
11.6540,0.5781
11.6908,0.6266
11.7275,0.6762
11.7643,0.7271
11.8011,0.7793
11.8379,0.8326
11.8747,0.8871
11.9115,0.9429
11.9482,0.9999
11.9850,1.0580
12.0218,1.1174
12.0586,1.1780
12.0954,1.2399
12.1322,1.3029
12.1689,1.3671
12.2057,1.4326
12.2425,1.4993
12.2793,1.5672
12.3161,1.6363
12.3529,1.7066
12.3896,1.7781
12.4264,1.8509
12.4632,1.9248
12.5000,2.0000
